Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XLC_SMA_50,XLC_SMA_200,XLC_EMA_8,XLC_EMA_20,XLC_EMA_21,XLY_SMA_50,XLY_SMA_200,XLY_EMA_8,XLY_EMA_20,XLY_EMA_21,XLP_SMA_50,XLP_SMA_200,XLP_EMA_8,XLP_EMA_20,XLP_EMA_21,XLE_SMA_50,XLE_SMA_200,XLE_EMA_8,XLE_EMA_20,XLE_EMA_21,XLF_SMA_50,XLF_SMA_200,XLF_EMA_8,XLF_EMA_20,XLF_EMA_21,XLV_SMA_50,XLV_SMA_200,XLV_EMA_8,XLV_EMA_20,XLV_EMA_21,XLI_SMA_50,XLI_SMA_200,XLI_EMA_8,XLI_EMA_20,XLI_EMA_21,XLB_SMA_50,XLB_SMA_200,XLB_EMA_8,XLB_EMA_20,XLB_EMA_21,XLRE_SMA_50,XLRE_SMA_200,XLRE_EMA_8,XLRE_EMA_20,XLRE_EMA_21,XLK_SMA_50,XLK_SMA_200,XLK_EMA_8,XLK_EMA_20,XLK_EMA_21,XLU_SMA_50,XLU_SMA_200,XLU_EMA_8,XLU_EMA_20,XLU_EMA_21
2021-05-13,86.87000274658203,75.5999984741211,51.880001068115234,37.290000915527344,103.30000305175781,133.0500030517578,70.5999984741211,41.560001373291016,65.58999633789062,122.83000183105469,167.8300018310547,,,75.6,75.6,75.6,,,167.83,167.83,167.83,,,70.6,70.6,70.6,,,51.88,51.88,51.88,,,37.29,37.29,37.29,,,122.83,122.83,122.83,,,103.3,103.3,103.3,,,86.87,86.87,86.87,,,41.56,41.56,41.56,,,133.05,133.05,133.05,,,65.59,65.59,65.59
2021-05-14,87.91000366210938,77.08999633789062,53.4900016784668,37.880001068115234,104.7300033569336,135.97999572753906,70.91000366210938,41.95000076293945,65.91000366210938,123.44999694824219,170.74000549316406,,,76.44,76.38,76.38,,,169.47,169.36,169.35,,,70.77,70.76,70.76,,,52.79,52.73,52.72,,,37.62,37.6,37.6,,,123.18,123.16,123.15,,,104.1,104.05,104.05,,,87.46,87.42,87.41,,,41.78,41.76,41.76,,,134.7,134.59,134.58,,,65.77,65.76,65.76
2021-05-17,88.68000030517578,76.4800033569336,54.72999954223633,37.95000076293945,104.41000366210938,134.97999572753906,70.80999755859375,41.970001220703125,65.37000274658203,123.22000122070312,170.42999267578125,,,76.46,76.42,76.42,,,169.87,169.75,169.75,,,70.79,70.78,70.78,,,53.6,53.46,53.46,,,37.76,37.73,37.73,,,123.2,123.18,123.18,,,104.23,104.18,104.18,,,87.97,87.88,87.88,,,41.86,41.84,41.84,,,134.82,134.73,134.73,,,65.6,65.62,65.62
2021-05-18,87.69999694824219,75.69999694824219,53.459999084472656,37.41999816894531,102.88999938964844,133.89999389648438,70.58999633789062,42.04999923706055,65.36000061035156,123.26000213623047,169.10000610351562,,,76.19,76.21,76.21,,,169.6,169.56,169.56,,,70.72,70.73,70.73,,,53.55,53.46,53.46,,,37.64,37.64,37.64,,,123.22,123.2,123.2,,,103.76,103.81,103.81,,,87.87,87.83,87.83,,,41.93,41.9,41.9,,,134.5,134.49,134.49,,,65.52,65.54,65.54
2021-05-19,86.36000061035156,75.81999969482422,52.130001068115234,37.189998626708984,102.30999755859375,134.3699951171875,70.36000061035156,41.88999938964844,65.25,123.05000305175781,167.67999267578125,,,76.08,76.12,76.12,,,169.0,169.11,169.11,,,70.61,70.64,70.64,,,53.11,53.14,53.14,,,37.5,37.53,37.53,,,123.17,123.17,123.17,,,103.31,103.45,103.45,,,87.4,87.47,87.47,,,41.91,41.9,41.9,,,134.46,134.46,134.46,,,65.43,65.47,65.47
2021-05-20,86.41000366210938,77.12000274658203,52.04999923706055,37.209999084472656,102.54000091552734,136.94000244140625,71.01000213623047,42.40999984741211,65.81999969482422,124.33999633789062,169.39999389648438,,,76.37,76.33,76.33,,,169.12,169.17,169.17,,,70.72,70.72,70.72,,,52.81,52.91,52.91,,,37.42,37.46,37.46,,,123.5,123.41,123.41,,,103.09,103.26,103.26,,,87.12,87.25,87.25,,,42.06,42.01,42.0,,,135.17,134.99,134.98,,,65.54,65.54,65.54
2021-05-21,86.5999984741211,76.86000061035156,52.15999984741211,37.58000183105469,103.04000091552734,136.19000244140625,71.0199966430664,42.34000015258789,66.16000366210938,124.36000061035156,168.5500030517578,,,76.5,76.43,76.43,,,168.96,169.05,169.05,,,70.8,70.77,70.77,,,52.63,52.77,52.77,,,37.46,37.49,37.49,,,123.73,123.59,123.59,,,103.08,103.21,103.22,,,86.98,87.13,87.13,,,42.13,42.07,42.07,,,135.44,135.21,135.21,,,65.71,65.66,65.66
2021-05-24,87.37000274658203,78.26000213623047,52.68000030517578,37.7599983215332,103.68000030517578,138.61000061035156,71.2300033569336,42.79999923706055,66.04000091552734,124.4800033569336,170.22000122070312,,,76.95,76.75,76.74,,,169.29,169.25,169.25,,,70.91,70.85,70.85,,,52.65,52.75,52.76,,,37.54,37.53,37.53,,,123.92,123.75,123.74,,,103.23,103.3,103.3,,,87.08,87.17,87.17,,,42.3,42.2,42.19,,,136.25,135.8,135.79,,,65.79,65.73,65.72
2021-05-25,86.62999725341797,78.23999786376953,51.61000061035156,37.380001068115234,103.37000274658203,138.64999389648438,71.25,42.91999816894531,65.23999786376953,124.11000061035156,170.75999450683594,,,77.27,76.98,76.98,,,169.65,169.5,169.49,,,71.0,70.92,70.91,,,52.39,52.57,52.58,,,37.5,37.51,37.51,,,123.97,123.8,123.8,,,103.27,103.31,103.31,,,86.97,87.08,87.09,,,42.46,42.31,42.31,,,136.85,136.26,136.24,,,65.66,65.65,65.65
2021-05-26,86.66000366210938,78.75,52.06999969482422,37.4900016784668,103.69999694824219,138.63999938964844,71.0999984741211,43.02000045776367,65.25,123.38999938964844,172.38999938964844,,,77.63,77.25,77.24,,,170.31,169.93,169.92,,,71.02,70.94,70.94,,,52.31,52.49,52.5,,,37.5,37.51,37.51,,,123.83,123.74,123.74,,,103.37,103.37,103.37,,,86.89,87.02,87.02,,,42.59,42.42,42.41,,,137.28,136.62,136.59,,,65.56,65.59,65.59
